Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Tool.java,43,1,0,0,43,43,43,43,43,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/EntryFormatter.java,77,1,0,0,77,77,77,77,77,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SnapshotMap.java,132,1,1,10,132,132,132,132,132,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,256,3,2,62,24,43,14,22,7,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringEntryFormatter.java,47,1,0,0,47,47,47,47,47,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/HardLink.java,665,2,1,13,665,666,333,665,332,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,0,0,62,0,0,0,0,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java,55,1,1,5,55,55,55,55,55,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,0,0,62,0,0,0,0,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,173,0,0,62,0,0,0,0,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,438,4,2,62,27,74,18,73,18,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,176,3,3,62,9,19,6,17,5,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,848,8,2,62,106,194,24,182,22,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/server/Main.java,54,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,582,6,3,62,22,152,25,34,5,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,800,4,2,32,33,91,22,72,18,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,90,1,1,62,12,25,25,3,3,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/BookKeeper.java,582,6,3,62,22,152,25,34,5,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/LedgerEntry.java,84,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/LedgerMetadata.java,312,5,3,62,43,70,14,64,12,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/api/BKException.java,282,1,1,62,6,11,11,11,11,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,189,3,2,62,15,17,5,16,5,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,150,2,1,62,22,26,13,-7,-3,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,127,5,2,45,8,59,11,24,4,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,171,1,1,62,4,5,5,2,2,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,0,0,62,0,0,0,0,0,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,79,1,1,30,2,2,2,1,1,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,169,2,2,62,4,5,2,4,2,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,216,3,1,62,4,19,6,11,3,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,153,6,3,62,14,30,5,-43,-7,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,139,1,1,62,4,12,12,2,2,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,905,9,3,62,29,221,24,143,15,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,282,1,1,62,6,11,11,11,11,yes
BOOKKEEPER,4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,65,1,1,62,11,13,13,4,4,no
BOOKKEEPER,4.1.0,stream/proto/target/generated-sources/protobuf/java/org/apache/bookkeeper/stream/proto/kv/store/FileInfo.java,255,4,1,62,33,130,32,51,12,no
BOOKKEEPER,4.1.0,stream/api/src/main/java/org/apache/bookkeeper/api/kv/options/Option.java,43,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,stream/common/src/main/java/org/apache/bookkeeper/common/grpc/stats/ServerStats.java,339,2,1,62,190,193,96,191,95,yes
BOOKKEEPER,4.1.0,stream/server/src/main/java/org/apache/bookkeeper/stream/server/ExitCode.java,40,1,1,13,40,40,40,40,40,no
BOOKKEEPER,4.1.0,stream/distributedlog/core/src/main/java/org/apache/distributedlog/bk/LedgerMetadata.java,312,5,3,62,43,70,14,64,12,yes
BOOKKEEPER,4.1.0,stream/distributedlog/core/src/main/java/org/apache/distributedlog/tools/Tool.java,43,1,0,0,43,43,43,43,43,no
BOOKKEEPER,4.1.0,stream/storage/impl/src/main/java/org/apache/bookkeeper/stream/storage/impl/grpc/handler/ResponseHandler.java,366,1,1,62,1,1,1,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,2,1,13,260,284,142,271,135,no
BOOKKEEPER,4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,368,2,2,62,83,305,152,124,62,no
BOOKKEEPER,4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,3,1,13,177,227,75,215,71,no
BOOKKEEPER,4.1.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,5,3,13,425,534,106,451,90,no
BOOKKEEPER,4.1.0,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MathUtils.java,38,0,0,62,0,0,0,0,0,yes
BOOKKEEPER,4.1.0,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/SafeRunnable.java,39,0,0,62,0,0,0,0,0,no
BOOKKEEPER,4.1.0,bookkeeper-common/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,0,0,62,0,0,0,0,0,yes
BOOKKEEPER,4.1.1,bookkeeper-stats/src/main/java/org/apache/bookkeeper/stats/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,bookkeeper-stats/src/main/java/org/apache/bookkeeper/stats/annotations/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,tests/integration-tests-utils/src/main/java/org/apache/bookkeeper/tests/integration/utils/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,tests/integration-tests-topologies/src/main/java/org/apache/bookkeeper/tests/containers/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,tests/integration-tests-topologies/src/main/java/org/apache/bookkeeper/tests/containers/wait/package-info.java,89,1,1,15,89,89,89,89,89,no
