Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/SimpleCharStream.java,457,8,2,51,457,2743,342,457,57,yes
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/ParseException.java,210,8,2,51,210,1261,157,210,26,yes
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/Rcc.java,525,9,2,51,519,3145,349,525,58,yes
ZOOKEEPER,3.0.0,zookeeper-jute/target/generated-sources/java/org/apache/jute/compiler/generated/TokenMgrError.java,151,8,2,51,151,907,113,151,18,yes
ZOOKEEPER,3.0.0,zookeeper-it/src/test/java/org/apache/zookeeper/test/system/GenerateLoad.java,505,12,3,50,490,2478,206,505,42,yes
ZOOKEEPER,3.0.0,zookeeper-contrib/zookeeper-contrib-rest/src/test/java/org/apache/zookeeper/server/jersey/SessionTest.java,187,16,5,50,100,696,43,187,11,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ACLTest.java,155,0,0,7,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/TestHammer.java,62,0,0,55,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/KeeperStateTest.java,50,0,0,9,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/QuorumTest.java,185,0,0,55,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/OOMTest.java,149,0,0,55,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/RecoveryTest.java,209,0,0,55,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/NullDataTest.java,72,1,1,2,72,72,72,72,72,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/IntegrityCheck.java,232,0,0,36,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientBase.java,382,1,1,23,1,3,3,1,1,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncTest.java,277,0,0,55,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatchedEventTest.java,95,0,0,9,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/EventTypeTest.java,50,0,0,9,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/SyncCallTest.java,96,0,0,16,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ClientTest.java,737,0,0,55,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/SessionTest.java,187,0,0,55,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOps.java,500,0,0,12,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/AsyncOpsTest.java,178,0,0,12,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/DisconnectableZooKeeper.java,54,0,0,12,0,0,0,0,0,no
