Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper-files/ZOOKEEPER,11,0.3868056636066594,0.11793994087443598,0.014159016648514081,NaiveBayes,UNDER,false,NONE,2.0,1.0,251.0,89.0,0.6666666666666666,0.02197802197802198,0.6632216989359847,0.026060070671378204
zookeeper-files/ZOOKEEPER,11,0.3868056636066594,0.11793994087443598,0.014159016648514081,IBk,UNDER,false,NONE,23.0,66.0,186.0,68.0,0.25842696629213485,0.25274725274725274,0.5151971044828187,-0.009222256378727188
zookeeper-files/ZOOKEEPER,11,0.3868056636066594,0.11793994087443598,0.014159016648514081,Random Forest,UNDER,false,NONE,16.0,29.0,223.0,75.0,0.35555555555555557,0.17582417582417584,0.6759331937903367,0.0724426647251545
zookeeper-files/ZOOKEEPER,12,0.44017426482028943,0.13209895752295006,0.007157305119029096,NaiveBayes,UNDER,false,NONE,21.0,36.0,300.0,25.0,0.3684210526315789,0.45652173913043476,0.7399068322981367,0.31669696791976987
zookeeper-files/ZOOKEEPER,12,0.44017426482028943,0.13209895752295006,0.007157305119029096,IBk,UNDER,false,NONE,19.0,99.0,237.0,27.0,0.16101694915254236,0.41304347826086957,0.5682906314699793,0.07066728452270632
zookeeper-files/ZOOKEEPER,12,0.44017426482028943,0.13209895752295006,0.007157305119029096,Random Forest,UNDER,false,NONE,15.0,51.0,285.0,31.0,0.22727272727272727,0.32608695652173914,0.6815476190476191,0.1467640008716497
zookeeper-files/ZOOKEEPER,13,0.4996110160261397,0.13925626264197916,0.0034230589699704374,NaiveBayes,UNDER,false,NONE,1.0,2.0,358.0,21.0,0.3333333333333333,0.045454545454545456,0.5333964646464646,0.06710554257804204
zookeeper-files/ZOOKEEPER,13,0.4996110160261397,0.13925626264197916,0.0034230589699704374,IBk,UNDER,false,NONE,5.0,47.0,313.0,17.0,0.09615384615384616,0.22727272727272727,0.5174873737373737,0.05896843725943031
zookeeper-files/ZOOKEEPER,13,0.4996110160261397,0.13925626264197916,0.0034230589699704374,Random Forest,UNDER,false,NONE,1.0,21.0,339.0,21.0,0.045454545454545456,0.045454545454545456,0.7020833333333333,-0.012878787878787473
zookeeper-files/ZOOKEEPER,14,0.55904776723199,0.1426793216119496,0.0018671230745293294,NaiveBayes,UNDER,false,NONE,1.0,3.0,370.0,11.0,0.25,0.08333333333333333,0.620420017873101,0.11114775725593674
zookeeper-files/ZOOKEEPER,14,0.55904776723199,0.1426793216119496,0.0018671230745293294,IBk,UNDER,false,NONE,6.0,56.0,317.0,6.0,0.0967741935483871,0.5,0.653485254691689,0.11599140804384833
zookeeper-files/ZOOKEEPER,14,0.55904776723199,0.1426793216119496,0.0018671230745293294,Random Forest,UNDER,false,NONE,6.0,18.0,355.0,6.0,0.25,0.5,0.8857238605898123,0.30442637759710944
zookeeper-files/ZOOKEEPER,15,0.6189512992064727,0.14454644468647893,0.0026450910222498834,NaiveBayes,UNDER,false,NONE,0.0,2.0,367.0,17.0,0.0,0.0,0.6068866571018652,-0.009358656757499088
zookeeper-files/ZOOKEEPER,15,0.6189512992064727,0.14454644468647893,0.0026450910222498834,IBk,UNDER,false,NONE,8.0,35.0,334.0,9.0,0.18604651162790697,0.47058823529411764,0.6956798979754504,0.21725504654806924
zookeeper-files/ZOOKEEPER,15,0.6189512992064727,0.14454644468647893,0.0026450910222498834,Random Forest,UNDER,false,NONE,8.0,15.0,354.0,9.0,0.34782608695652173,0.47058823529411764,0.8428184281842819,0.3679901760130989
zookeeper-files/ZOOKEEPER,16,0.6790104247704994,0.1471915357087288,0.011513925626264198,NaiveBayes,UNDER,false,NONE,5.0,1.0,315.0,69.0,0.8333333333333334,0.06756756756756757,0.5379105371193978,0.09936658749010269
zookeeper-files/ZOOKEEPER,16,0.6790104247704994,0.1471915357087288,0.011513925626264198,IBk,UNDER,false,NONE,11.0,37.0,279.0,63.0,0.22916666666666666,0.14864864864864866,0.5200992131371878,0.03646605395790105
